author,content
"
撒个欢儿呀
","


饭后和老李以及他老娘聊天，说起以前的苦日子。老李的老娘：“以前在村上借钱盖了山间瓦房，连院墙都垒不起，和几个朋友扒火车去贩木头，挣点本钱揣着去广州贩烟，除了路费，所有的钱都给他买了一身好衣裳，过年的时候亮瞎村上的人。”老李：“八几年啊，村上其他小孩儿都穿着黑色棉衣裤，我妈给我买的虎纹大衣，金色滑雪裤，黄色皮鞋，只要我一出门，全村的小孩儿都来追我。”“哈哈哈”我问他：“有没有好看的女孩儿？”老李：“他们都拿着棍子，要打.老 虎。”

"
"
-小门神~
","


昨晚正和老爹喝酒，村里的老疯子要闯进家中。我对老爹说：我去跟他打一架，赶走他。老爹说好……可过了半天，门外还是有老疯子的声音，而我只有几声断断续续的惨叫！老爹有些不放心，担心我会输。于是他冲到门口，将大门牢牢锁上……

"
"
璃白°
","


某和臭豆腐，那真叫一个香啊，带去公司配工作餐吃，吃完就去午休了。然后下午上班，上司找到我:你也找找自己区域，看看是不是哪里死老鼠了，一股子味道，我午休都没休息找半天了。。。

"
"
狐小乔
","


去老家参加一个亲戚的婚礼，酒席上，有个大爷忽然说:""听熟人说啊，最近有禽流感，鸡鸭的我都不敢吃了，谁知道这桌上的鸡鸭是从哪儿来的!""一听这话，我硬生生收住筷子，和别人一起转向红烧鱼和小炖肉。直到酒席结束，那炖鸡和烧鸭也没人动筷子。大家起身离开的时候，大爷又喊:""给我来个大塑料袋!""之后把那大盘的鸡和鸭全都倒进去，心满意足地提着走了……

"
"
小猴子(houdk…
","


说个狗雪的事儿，之前单位俩同事在一起大半年了，团队同事知道这事，他们双方家长也都知道。       女的有次回老家过端午，顺便又相了个亲，过了小半年，女同事便嫁给了老家相亲的那个男的。       从相亲到结婚的小半年里，她一点苗头都没露出来，和男同事还是住一起，平时也很亲昵，还跟以前一样一样的。        直到……直到女同事结婚了男同事才晓得自己被分手了……       婚假回来女生就离职了，男同事受伤颇深，一天天的魂不守舍，业绩也是持续下滑ing，没多久也离职了……
…
查看全文"
"
净心居士
","


前段时间有点上火，嘴角起了个泡。这不智齿疼又给拔了，吃饭也不方便，只能喝稀饭。悲催的事又在今天，痔疮也犯了。这下倒好了:吃也吃不好，拉也不敢用力拉[大哭][大哭][大哭]完美的解释什么叫做:屋漏偏逢连夜雨 ，船迟又遇打头风

"
"
狐小乔
","


老妈切了哈密瓜，喊我过去吃。她一边看我吃，一边絮叨她如何对我关爱，我如何忘恩负义。我一听又是老一套，就边吃边默诵千家诗。她突然喝问：“你是不是在背千家诗？”我一惊：你咋知道？老妈说：“哼，看你的口型，开始背的是胜日寻芳泗水滨，刚才背到花有清香月有阴！”

"
"
挖鼻孔的老虎
","


小外甥在厨房看老婆做饭，后来老婆让他去拿个冰激凌吃。他够不到冰箱的速冻层，于是我帮他拿，他跟我说对不起，我告诉他应该说谢谢。然后他说：“我把你藏钱的地方告诉了舅妈，她才奖励我吃的。”

"
"
老巫婆～～
","


正在写资料，突然感觉腹中一股氤氲之流难以抑制，忙冲到卫生间，怎奈女卫生间恰好客满。无奈之际，来到男卫生间，喊了一句“里边有人么?”，见无人回答后便放心大胆的走了进去，找了一个隔断后酣畅淋漓的释放了起来……释放后的我，正哼着小曲儿在洗手台洗手，忽听隔壁隔断一阵冲水声，只见公司新来的小刘走了出来，瞟了我一眼后便神色慌张的走了出去……现在，坐在办公室的我总感觉到小刘在用一种似笑非笑、意味深长的眼神在看着我。怎么办，我要不要刹 他灭口？

"
"
℡雨竹
","


倾盆大瓢雨过后，池塘小河沟里面水满了，玉米地里面也存满了水，蛙声阵阵。带上侄子去自家玉米地里，看水势如何？望着齐膝深的水，感叹道，这一季玉米又绝收了侄子说，姑姑，这一季玉米绝收，可以收一季青蛙啊！这么多青蛙，肯定里面有青蛙王子，把青蛙王子逮到了，也解决了你这么多年大龄剩女的问题，奶奶不是天天催你找青蛙王子吧

"
